id	target_txt	prediction
332  ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten die gefängnisinsassen gemeinsam
378  ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	du kommst von oben ihn ihren tür offen
331  ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der unescoausschuss tagt noch bis am samstag
1291  ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	seit vier jahren hat mona fett ein schrebergarten
279  ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es einige grosse wolkenlücken
1006  ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	sie arbeitet sehr hart für dieses tägliches braut
223  ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	am mittwoch ist die wetterlage nach in unklar
425  ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	brugdorf auchmals zu einer festhäuter werden
1299  ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	die schweizer steuer mit schneezereien am dachbalken
146  ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende macht sich der frühling bemerkbar
1275  ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind die speziesunterschritte
298  ch_gr_0950.wav	die erde gilt als der blaue planet	die erde gilt als der blaue planet
979  ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich bringe der wein und kuche machen mich auf
118  ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich streite sowieso umgehen mit zwergen
435  ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	es hat auch immer wieder viel probleme zu sagen
396  ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er hat uns zu haus im groben zügsgiziert
383  ch_gr_0980.wav	der prozess dauerte mehrere tage	der prozess hat mehrere tage getaut
876  ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	du schleisst man doch nicht die tür zu oder
211  ch_be_2539.wav	alter freund du schläfst jetzt ein	alter freund du schläfst jetzt rein
532  ch_zh_3308.wav	es bat um eine verlängerung der frist	es hat nach einer verlängerung der frühspaten
136  ch_vs_1173.wav	am morgen haben wir nebel über basel	am morgen haben wir nebel über basel
506  ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	es hatte ein bisschen auf den warmen asphalt
1237  ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das war im reifen war ein kind ist es umgegeben
788  ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle zusammen das laub gekehrt haben
920  ch_sg_2499.wav	dafür rieche ich nach schweisse	dafür schmeisst dich noch schweiss
107  ch_vs_1833.wav	leichter regenschauer und windig	leichter regenfall und windig
28  ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	aber das tätige doch wohl etwas übertrieben sein
556  ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	diese hat stossendlich auch den zuschlag erhalten
182  ch_be_2701.wav	er umarmt sie fest	er umarmt sie fest
949  ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	guten tag rotkäppchen sagte der wolf
1289  ch_lu_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es ein paar grössere wolkenlücken
1298  ch_lu_0488.wav	das gefieder ist allgemein dunkel blaugrau	die federer sind allgemein dunkel blaugrau
641  ch_zh_3096.wav	sie beanspruchen deutlich weniger ressourcen als wir dies tun	sie brauchen deutlich weniger ressourcen als mir
1066  ch_ag_0606.wav	wie oft haben sie mit ihr schon über die schweiz gesprochen	noch oft haben sie mit ihr über die schweiz gesprochen
398  ch_gr_2171.wav	highlight der ausstellung sind die sensen	heilleit der ausstellung sind die sensen
734  ch_sg_2528.wav	du schielst tatsächlich ein bisschen	du schielst tatsächlich ein bisschen
746  ch_sg_2448.wav	er hasste es zu niesen	er hasste kast aus niesen
559  ch_zh_2014.wav	was bedeutet das konkret	was heisst das konkret
443  ch_zh_1052.wav	der apfel kann vielseitig eingesetzt werden	die öpfer kann vielseitig eingesetzt werden
392  ch_gr_1493.wav	die kleine kammer setze falsche prioritäten	die kleinkamer setzt falsche prioritäten
939  ch_sg_2666.wav	stell dir vor ich stürze	stellvier fahr ist die tür zu
1135  ch_bs_1856.wav	wie hoch ist das schauerrisiko heute	wie hoch ist das stämmer risiko heute
326  ch_gr_2570.wav	schrumpfst du zu einem kleinen käfer zusammen	schrumpfst du zu einem kleinen käfer zusammen
974  ch_ag_1719.wav	sie wendet sich um und blickt hinunter auf die stadt	sie trägt sich um und blickt aber auf die stadt
717  ch_sg_2717.wav	seine oberfläche war uneben	seine oberfläche war uneben
1312  ch_lu_0503.wav	die trikots wurden von gonzo geklaut	die liebe wurde im vom gonzen gefährden
567  ch_zh_3861.wav	der deutsche kaiser war hocherfreut	der deutsche kaiser war hochen freude
458  ch_zh_1873.wav	zeitweise hat es dichtere schleierwolken	teilweise hat es dichtere schleierwolken
1233  ch_lu_0925.wav	im nächsten jahr soll handtracking hinzukommen	im nächsten jahr haben die schweiz hinzukommen
1223  ch_lu_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	aber mit wochen ist die wetterlage noch unklar
465  ch_zh_2413.wav	kurz vor weihnachten schneite es leicht	kurz vor weihnachten hat es bisher geschneit
1254  ch_lu_2458.wav	irgendjemand pfuscht mir hier ins handwerk	irgendjemand findet er doch aus handwerk
338  ch_gr_0171.wav	jetzt hab ich dich du alter sünder	jetzt hab ich dich du alter sünder
350  ch_gr_1527.wav	aber alle haben dieselben sorgen	aber alle haben dieselben sorgen
379  ch_gr_1687.wav	und jetzt stopft er sich mit fleisch voll	und jetzt stoppt er sich mit fleisch voll
998  ch_ag_0598.wav	die sechsunddreissig jährige greta gysin zieht ins parlament ein	die sechsunddreissig jährige situation ein
1313  ch_lu_2472.wav	meine güte roch der arme ranzig aus dem mund	topf hatte allerdings aus dem umgeschmickt
774  ch_sg_2648.wav	geliehen hab ich es nicht gestohlen	ich hab es ausgelehnt nicht gestohlen
119  ch_vs_0046.wav	ich zog mich also vor dem arzt aus	ich habe mich also vor dem arzt abgezogen
153  ch_vs_1991.wav	es ist immer teil von machstrukturen	es ist immer teil des acht strukturen
79  ch_vs_0693.wav	das geheimrezept wildblumen	das geheimrezept wildblumen
53  ch_vs_0268.wav	also drei grad mehr als heute	also drei grad mehr von heute
403  ch_gr_1861.wav	lockerschnee weisst eine extrem geringe dichte auf	lockerschnee hat extrem geringe wichtig
708  ch_sg_1034.wav	seitdem ist der ort selbstständig	seitdem ist der ort selbstständig
227  ch_be_2673.wav	aber ich tanze nicht nach deiner pfeife	aber ich danke nicht nach deiner pfeife
309  ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	ja ich glaube jetzt habe ich das verstanden
951  ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	allerdings ist sie nicht selbst ständlich
931  ch_sg_0924.wav	videoconferencing boomt	videokonferenzen im bund
135  ch_vs_2693.wav	ich trank noch ein glas	ich habe ein gelassen getrunken
842  ch_sg_2675.wav	du tanzt so leicht wie eine feder	du tanzt so leicht wie eine feder
1272  ch_lu_1780.wav	ich kehre laub immer nur ende herbst	ich wisse dass ich immer noch eine ende herbst
704  ch_sg_2501.wav	nicky rollte sich auf die seite	nickiert sie auf zeiten geholt
1120  ch_bs_1499.wav	seit zehn jahren ist sie konstant	seit zehn jahren ist sie konstant
57  ch_vs_2494.wav	ich bin nur so gerannt um dich einzuholen	ich bin nur so gesekelt für die kinder zu holen
127  ch_vs_2678.wav	ich fürchte dass er euch täuscht	ich fürchte dass er auch täuscht
1140  ch_bs_0221.wav	aber er widersprach auch nicht	aber er hat auch nicht widersprochen
771  ch_sg_0063.wav	das auto rast durch die nacht	das auto rast durch die nacht
1056  ch_ag_2207.wav	ich starre in die weiten des ozeans	er starrte die weite von nutzen
828  ch_sg_1142.wav	sonst ist es dann morgen wieder trocken	sonst ist es dann morgen wieder trocken
404  ch_gr_1849.wav	drohnen vermessen die schneedicke	die rohnenvermessen die schneetäcke
322  ch_gr_1723.wav	er warf die flasche zur seite	er hatte die flasche auf die seite
1022  ch_ag_2601.wav	ich wohne in einem kleinen hotel und erhole mich	ich wohne immer noch freinhalten und erhole mich
1023  ch_ag_2629.wav	auf diese weise sparst du jede menge zeit	auf diese weise schwarze wieder morgen zeit
1216  ch_lu_0474.wav	wochentags werden eher frühstücksflocken zum frühstück serviert	unter den wochen gibt es müsse nun zu morgen
1215  ch_lu_2505.wav	dann rülpste er gewaltig und kicherte darüber	dann hatte gerochen gehört und darüber gelacht
438  ch_zh_3686.wav	wir waren total erstaunt über lena	wir sind durch die talen stunden über die lehnen
1262  ch_lu_1838.wav	am abend klar mit wenigen wolken	am abend klar mit ein paar wolken
1195  ch_bs_1698.wav	hommes bereitet schon das haus vor	du umarmst du ein hausbares
877  ch_sg_2261.wav	du malst das ja sehr bunt aus	du malst ein sehr bunt aus
660  ch_zh_2953.wav	die zahl der betroffenen schwankt	die zahl der betroffenen schwankt
540  ch_zh_2758.wav	doch es kam andersnein	aber es ist anders kam nein
1047  ch_ag_2588.wav	sie war ausgeruht hungrig glücklich	sie war ausgetrocken handelt es sich
1218  ch_lu_1018.wav	diese volksbräuche sind europaweit verbreitet	die volksbrüchse in europa weit verbreitet
418  ch_gr_2207.wav	ich starre in die weiten des ozeans	ich starre in die weite des ozeans
420  ch_gr_2561.wav	eine alte frau schrie auf	eine alte frau hat aufgeschrauen
1015  ch_ag_1888.wav	am abend nicht ganz wolkenlos	am abend ist es nicht ganz wolkenlos
311  ch_gr_1864.wav	auf zweitausend metern elf grad	auf zweitausend metern ölf grad
873  ch_sg_1754.wav	unglaublich er zerpflückt dich ja	unglaublich eine nimmt die jusanne
1013  ch_ag_0228.wav	du hast mir damals alles weg gegessen	du hast mir doch das moos alles weggessen
782  ch_sg_1631.wav	die schweiz eine schwimmnation	die schweiz beschwinden nation
1219  ch_lu_2539.wav	alter freund du schläfst jetzt ein	alter kollege du florsche ich ziehe
565  ch_zh_3685.wav	der unfall verursachte zwei tote	die umfang hat sich zwei toter geführt
604  ch_zh_0987.wav	beliebtes ziel ist der stockberg	beliebt das ziel ist der stockberg
37  ch_vs_2641.wav	du magst ihn und das spürt er	du magst noch und das gespürt er
1256  ch_lu_2302.wav	dann drehe sich für ihn die zeit zurück	denn drei sich für ihre zeit zurück
886  ch_sg_2711.wav	sie ist schon vor langer zeit umgezogen	sie ist eine vorlange zeit zu sein
1231  ch_lu_0528.wav	das zeigte sich am dienstagabend	das hat sich am dienstag obung gezeigt
1102  ch_bs_2437.wav	sie naschte von den pralinen	sie hat von den proalien gesessen
73  ch_vs_1228.wav	der april macht wieder mal was er will	der aprilmachtmal wieder was er will
643  ch_zh_1695.wav	sie sind sicher gut vorbereitet	sie sind sicher gut vorbereitet
31  ch_vs_2668.wav	dann stürzt du dich von einem kliff	der stürzer steuerdicht des kliffs
686  ch_sg_0074.wav	vor allem du siehst dich ein bisschen um	vor allem in durch spiez sommer
1238  ch_lu_2667.wav	deshalb stürze ich auch hin und wieder ab	deshalb stürze ich ab und zu wieder ab
166  ch_vs_0655.wav	sofort sah er das rotkäppchen	sofort hat das rotkäppchen
23  ch_vs_2330.wav	der plan wurde fallengelassen	der plan hat man lasse sie
61  ch_vs_2523.wav	ich schaue mir das im auto an	ich lebe das auto an
446  ch_zh_1720.wav	endlich wendete sich das schicksal	endlich hat sich das schicksal gewendet
616  ch_zh_1468.wav	weshalb haben sie eigentlich deutschland im auge	wieso haben sie eigentlich deutschland im auge
48  ch_vs_0254.wav	diese benötigen viel strom	das brauchen viele strom
1277  ch_lu_1555.wav	das problem sind nicht die kantonsgrenzen	das problem sind nicht kantonsgrenzen
1165  ch_bs_0633.wav	gut dachte sich der wolf	gut hatte sich der wolf
122  ch_vs_2645.wav	ich stehle ihn aus der vorratskammer	ich stahle noch aus der voratskammer
1004  ch_ag_2364.wav	der maulwurf gräbt sich durch die erde	im moment glaubt sich durch die täden
944  ch_sg_1810.wav	am samstag ist es oft sonnig	am samstag ist es oft sonnig
492  ch_zh_2638.wav	weil ich deine fantasien spüre	wie licht in ihren fantasien spüren
481  ch_zh_2611.wav	sie hatte auf der kellertreppe gesessen	sie ist auf der kallerstäge gesessen
777  ch_sg_1180.wav	ich wünsche ihnen einen schönen abend	die wunsch ihn einen schönen arbeit
22  ch_vs_0241.wav	am donnerstag einzelne regenschauer	am donnerstag einzelne regenfälle
1093  ch_bs_1062.wav	ich sollte immer auf ihn aufpassen	ich sollte immer auf ihn aufpassen
855  ch_sg_0072.wav	er sieht sie erstaunt an	er schaut sie erstaunt an
1053  ch_ag_2549.wav	sie mussten ihn auf eine lichtung geschleppt haben	sie muss ihn auf dem wichtigen schleppt haben
1000  ch_ag_0229.wav	ich sage du wirst für sie gekehrt haben	ich sage du wirst für sie putzt haben
469  ch_zh_1668.wav	und wie stoppt man ronaldo	und wie stoppt mit der ronaldo
921  ch_sg_2670.wav	mutter war zu boden gestürzt	mutter wurde auf der boden
561  ch_zh_0171.wav	jetzt hab ich dich du alter sünder	jetzt hab ich dich du alter sünder
199  ch_be_1142.wav	sonst ist es dann morgen wieder trocken	sonst ist es der morgen wieder trocken
1017  ch_ag_1687.wav	und jetzt stopft er sich mit fleisch voll	und nicht stropfen sich mit fleisch voll
116  ch_vs_2686.wav	sie hat es gut getroffen	sie hat es gut getroffen
645  ch_zh_4114.wav	ein raunen ging durch die menge	ein rahmen ist durch manchmal ein
547  ch_zh_2955.wav	immer wieder werden hier tiere überfahren	immer wieder werden tiere überfahren
1016  ch_ag_1877.wav	prognose für in den bissen	prognose für indin bis zu
351  ch_gr_2749.wav	ja sie hatten alle verstanden	ja sieht alle verstanden
