id	target_txt	prediction
332  ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten die gefängnisinsassen gemeinsam
378  ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	du kosten von oben ihn ihn ihren tür offen gelassen
331  ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der unescoausschuss tagt noch bis am samstag
1291  ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	seit vier jahren hat mona fett ein schrebergarten
279  ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es ein paar grössere wolkenlücken
1006  ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	sie schafft sehr hert für ihr täglicher brut
223  ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	am mifwoch ist die wetterlage nach in unklar
425  ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	brugdorf auch mal zu einer festhalten werden
1299  ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	die schweizer steuer mit schneezen reihen und dachbalken
146  ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende macht sich der frühling bemerkbar
1275  ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind die speziesunterschiede
298  ch_gr_0950.wav	die erde gilt als der blaue planet	die erde gilt als der planet
979  ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich bringe der wein und kuche machen
118  ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich streite sowieso ungerer mit zwergen
435  ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	es hat auch immer wieder viele probleme zugezogen
396  ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er hat uns zu hause im groben zeitgezogen
383  ch_gr_0980.wav	der prozess dauerte mehrere tage	der prozess hat mehrere tage
876  ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	du schliesslich ist man doch nicht tiere zu oder
211  ch_be_2539.wav	alter freund du schläfst jetzt ein	alter freund das du schlagst jetzt ein
532  ch_zh_3308.wav	es bat um eine verlängerung der frist	es hätte nach einer verlängerung der fristpaten
136  ch_vs_1173.wav	am morgen haben wir nebel über basel	am morgen haben wir nebel über den basel
506  ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	es hat als bisher auf den warmen jasfalt geregelt
1237  ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	dass mit dem reifen ist ein kind umgegeben
788  ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle zusammen selbst gekliert haben
920  ch_sg_2499.wav	dafür rieche ich nach schweisse	dafür schaute ich noch schweisse
107  ch_vs_1833.wav	leichter regenschauer und windig	leichter regenfall und windig
28  ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	aber das täglich wohl etwas zu übertrieben sein
556  ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	diese hat schon sendlich auch den zuschlag gekommen
