id	target_txt	prediction
332  ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten gefängnisinsassen gemeinsam
378  ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	du kosten von oben ihn haben teuer offen gelassen
331  ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der unescoausschuss tagt noch bis am samstag
1291  ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	seit vier jahren hat mona fettsch einen schrebergarten
279  ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es einige grössere wolkenlücken
1006  ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	sie arbeitet sehr hart für dieses täglichen brund
223  ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	am mittwoch ist die wetterlage noch eine unklare
425  ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	brugdorf auchmals zu einer festhalten werden
1299  ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	die schweizer steuer mit schneezereien am dochbalken
146  ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende macht sich der frühling bemerkbar
1275  ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind die speziesunterschritte
298  ch_gr_0950.wav	die erde gilt als der blaue planet	die erde gilt als der blaue planet
979  ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich bringe davon und kuchen mach auf
118  ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich streite sowieso umgern mit zwergen
435  ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	es soll auch immer wieder viele prominente sagen
396  ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er hat uns das haus im groben zügen gezieht
383  ch_gr_0980.wav	der prozess dauerte mehrere tage	der prozess hat mehrere tage getaut
876  ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	du schleisst man doch nicht die tiere zu oder
211  ch_be_2539.wav	alter freund du schläfst jetzt ein	alter freund du schläfst jetzt wein
