id	target_txt	prediction
332  ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten die gefängnisinsassen gemeinsam
378  ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	du kehrst von oben rein ich habe die tür auf gelassen
331  ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der unescoausschuss tagt noch bis am samstag
1291  ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	seit vier jahren hat mona vetsch einen schrebergarten
279  ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis etwas grössere wolkenlücken
1006  ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	sie arbeitet sehr hart für ihr täglich brot
223  ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	am mittwoch ist die wetterlage noch etwas unklar
425  ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	brug darf auch einmal zu einer festhaltung werden
1299  ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	schweizer stil mit schnitzereien am dachbalken
146  ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende macht sich der frühling bemerkbar
1275  ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind die speziesunterschiede
298  ch_gr_0950.wav	die erde gilt als der blaue planet	die erde gilt als der blaue planet
979  ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich bringe dir wein und kuchen mach auf
118  ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich streite mich ohnehin ungern mit zwergen
435  ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	es zog auch immer wieder viel prominenz an
396  ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er hat uns das haus in groben zügen skizziert
383  ch_gr_0980.wav	der prozess dauerte mehrere tage	der prozess dauerte mehrere tage
876  ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	du schmeisst mir doch nicht die tür zu oder
211  ch_be_2539.wav	alter freund du schläfst jetzt ein	alter freund du schläfst jetzt ein
532  ch_zh_3308.wav	es bat um eine verlängerung der frist	es bat nach einer verlängerung der frist
136  ch_vs_1173.wav	am morgen haben wir nebel über basel	am morgen haben wir nebel über basel
506  ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	es hatte etwas auf den warmen asphalt geregnet
1237  ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das mit dem reifen war es kindisches umgebung
788  ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle zusammen das laub gekehrt haben
920  ch_sg_2499.wav	dafür rieche ich nach schweisse	dafür rieche ich nach schweisse
107  ch_vs_1833.wav	leichter regenschauer und windig	leichter regenfalls und windig
28  ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	aber das dürfte doch wohl etwas übertrieben sein
556  ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	diese erhielte schlussendlich auch den zuschlag
182  ch_be_2701.wav	er umarmt sie fest	er umarmt sie fest
949  ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	guten tag rotkäppchen sagte der wolf
1289  ch_lu_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es einige grössere wolkenlücken
1298  ch_lu_0488.wav	das gefieder ist allgemein dunkel blaugrau	die federer sind allgemein dunkelblaugrau
641  ch_zh_3096.wav	sie beanspruchen deutlich weniger ressourcen als wir dies tun	sie brauchen deutlich weniger ressourcen als mehr
