id	target_txt	prediction
1509  common_voice_sv-SE_18847705	Us or the competition.	You don’t know.
723  common_voice_sv-SE_19475976	I also have a dog.	What are you going?
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	Why do you know that?
1103  common_voice_sv-SE_18858828	Have you experienced it before?	You don’t know.
1202  common_voice_sv-SE_18797088	Am i getting this right?	What are you going?
419  common_voice_sv-SE_18762822	We have a guest speaker.	What are you going?
1559  common_voice_sv-SE_18858223	No, I have football practice.	Why do you know that?
1580  common_voice_sv-SE_18858782	I could have been dead now.	You don’t know.
1049  common_voice_sv-SE_18858730	Do you have a dog?	What do you know that?
1476  common_voice_sv-SE_18847642	I’ve been fired.	What do you know that?
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	What do you know that?
703  common_voice_sv-SE_19758216	It was grandpas.	What are you going?
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	Why do you know that?
1510  common_voice_sv-SE_18847708	It is up to you.	What are you going?
1001  common_voice_sv-SE_18853079	Let’s order dessert.	What do you know that?
37  common_voice_sv-SE_19878008	But how do we find it?	What are you going?
606  common_voice_sv-SE_19354342	Thanks mother fucker	What are you going?
938  common_voice_sv-SE_19932446	I’m bothering you.	What are you going?
585  common_voice_sv-SE_19354301	What happened?	What are you going?
70  common_voice_sv-SE_19380483	Easy to hide.	What are you going?
948  common_voice_sv-SE_18852852	Like my mother.	What are you going?
1376  common_voice_sv-SE_20021360	And right then.	What are you going?
999  common_voice_sv-SE_18853077	But isn’t it easier now?	Why do you know that?
8  common_voice_sv-SE_19130618	Take it down, now!	What do you know that?
953  common_voice_sv-SE_18852857	What a night for you.	What are you going?
789  common_voice_sv-SE_19623825	We will solve it.	What do you want?
969  common_voice_sv-SE_18852879	We have been together for seven years.	Why do you know that?
1573  common_voice_sv-SE_18858770	No, you’re going home.	What are you going?
1592  common_voice_sv-SE_18858804	Let’s go look around.	You don’t know.
1316  common_voice_sv-SE_18775049	You should stay away!	What do you know that?
89  common_voice_sv-SE_18850261	We can not hear anything.	What do you know.
1491  common_voice_sv-SE_18847657	Do you need a little help?	What are you going?
88  common_voice_sv-SE_18850260	There are two.	What are you going?
1513  common_voice_sv-SE_18847711	Take your time.	What are you going?
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	What are you going?
1539  common_voice_sv-SE_18847870	Don’t talk crap!	What are you going?
1528  common_voice_sv-SE_18847854	Push the bastard!	What are you going?
1527  common_voice_sv-SE_18847853	And yourself?	What do you want?
1526  common_voice_sv-SE_18847852	Can I have his address?	What are you going?
591  common_voice_sv-SE_19354323	But that doesn’t matter.	What are you going?
1312  common_voice_sv-SE_18775044	It wasn’t possible.	You don’t know.
1157  common_voice_sv-SE_18780612	That is good!	What are you going?
1304  common_voice_sv-SE_18775036	But it is okay.	What are you going?
209  common_voice_sv-SE_18748672	Dig me up.	What are you going?
421  common_voice_sv-SE_18762824	Go to his classroom.	What are you going?
1109  common_voice_sv-SE_18746424	Me too.	What are you going?
1095  common_voice_sv-SE_18858819	I stole everything you own.	What doesn’t want to that take thing.
1201  common_voice_sv-SE_18797087	He is having a baby.	What are you going?
1094  common_voice_sv-SE_18858818	Yes, I probably will.	You don’t know.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	You don’t know.
1062  common_voice_sv-SE_18858756	I made him call you.	You’re not think with that there there.
1266  common_voice_sv-SE_18774998	Are you done?	What are you going?
1221  common_voice_sv-SE_18770437	That was a lie.	What do you know that?
892  common_voice_sv-SE_19589169	Can you believe it?	What do you have you?
213  common_voice_sv-SE_18748676	Apparently not.	You don’t know.
1015  common_voice_sv-SE_18854188	Another message.	What are you going?
59  common_voice_sv-SE_19071112	Come on, let's go!	What do you know that?
692  common_voice_sv-SE_19758160	Just ask nicely.	What are you going?
1485  common_voice_sv-SE_18847651	Should I turn on the TV for you?	Why do you know that?
1252  common_voice_sv-SE_18774967	And it probably hurts you.	We have to going to that.
1430  common_voice_sv-SE_20021643	What now?	What are you going?
385  common_voice_sv-SE_18736941	They’re just figs.	What are you going?
1163  common_voice_sv-SE_18780622	You are so crazy.	What do you know that?
1159  common_voice_sv-SE_18780616	Can you open it?	What are you going?
1246  common_voice_sv-SE_18770484	That is what I want.	What doesn’t that want to that.
647  common_voice_sv-SE_18754023	It was nice.	What are you going?
1141  common_voice_sv-SE_18746552	Where is the dude?	What do you know that?
1229  common_voice_sv-SE_18770445	But do it quickly.	What are you going?
1130  common_voice_sv-SE_18746513	I am sorry, okay?	What do you know that?
1575  common_voice_sv-SE_18858772	Do you see how you’re talking to me?	Why do you know that?
1260  common_voice_sv-SE_18774992	Dead or alive.	What doesn’t want to that.
1195  common_voice_sv-SE_18780679	Why would they?	What do you know that?
1228  common_voice_sv-SE_18770444	I hope you understand.	What doesn’t that want to that.
1127  common_voice_sv-SE_18746500	You were my best friend.	What doesn’t want to that.
1237  common_voice_sv-SE_18770459	I don’t like it.	What do you know that?
1220  common_voice_sv-SE_18770436	Nice and easy.	What are you going?
1293  common_voice_sv-SE_18775025	Your are welcome, dear.	What doesn’t that with that?
901  common_voice_sv-SE_19589178	We will fix that.	You don’t know.
1315  common_voice_sv-SE_18775048	It looks like him.	What are you going?
1299  common_voice_sv-SE_18775031	Let me handle it.	What are you going?
1555  common_voice_sv-SE_18851029	Despite me calling.	What do you know that?
993  common_voice_sv-SE_18853069	We can manage everything!	You don’t know.
991  common_voice_sv-SE_18853067	Because I’m not thinking that either.	Why do you know that?
984  common_voice_sv-SE_18852934	Your little thing is a hit.	You don’t know.
709  common_voice_sv-SE_19758226	What does she want?	What are you going?
955  common_voice_sv-SE_18852859	This is how we do.	What do you know that?
712  common_voice_sv-SE_19758269	We’ve dreamt something up.	What do you know that?
983  common_voice_sv-SE_18852933	It is my last meal.	You don’t know.
979  common_voice_sv-SE_18852929	Another person called.	What are you going?
684  common_voice_sv-SE_19758124	I don’t care!	What are you going?
1462  common_voice_sv-SE_18847618	He is home!	What do you want?
1405  common_voice_sv-SE_20021460	Cancel.	What are you going?
1326  common_voice_sv-SE_18775059	I didn’t do anything.	What are you going?
181  common_voice_sv-SE_18713028	Thanks, darling.	What do you want?
1311  common_voice_sv-SE_18775043	Damn you!	What are you going?
1227  common_voice_sv-SE_18770443	Don’t be stupid.	What are you going to that?
1241  common_voice_sv-SE_18770474	Why did you sat that?	What doesn’t want to that.
1291  common_voice_sv-SE_18775023	It’s a personal matter.	What doesn’t that want to that.
1495  common_voice_sv-SE_18847661	It is for the handyman.	What do you know that?
52  common_voice_sv-SE_18748646	Can I finish?	What are you going?
523  common_voice_sv-SE_18852902	I did not do it.	What are you going?
1017  common_voice_sv-SE_18858673	That we are not coming in.	What doesn’t want to that.
788  common_voice_sv-SE_19623824	It is us.	What do you want?
