id	target_txt	prediction
1509  common_voice_sv-SE_18847705	Us or the competition.	You an’the the the the the.
723  common_voice_sv-SE_19475976	I also have a dog.	I I tous the toure the the the the the.
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	You an’the the the the the the the the the.
1103  common_voice_sv-SE_18858828	Have you experienced it before?	I I’s the the the athe the the athe the the athe.
1202  common_voice_sv-SE_18797088	Am i getting this right?	I I atous tous the the the the the the the athe the.
419  common_voice_sv-SE_18762822	We have a guest speaker.	I I an’t the the the the the athe.
1559  common_voice_sv-SE_18858223	No, I have football practice.	You an’the the the the the the the the the.
1580  common_voice_sv-SE_18858782	I could have been dead now.	I I an’the the the the the the the the the athe the the.
1049  common_voice_sv-SE_18858730	Do you have a dog?	I I an’the toure the the the athe the the athe the the the.
1476  common_voice_sv-SE_18847642	I’ve been fired.	You an’the the the the the.
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	I I an’the toure the the the athe the the athe the athe athere the be the therere the thathe the be be the bere athe bathe bererere bererererere thererere berere.
703  common_voice_sv-SE_19758216	It was grandpas.	I I an’t the toure the the.
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	You an’the the the the the the the the the athe the the there the.
1510  common_voice_sv-SE_18847708	It is up to you.	I I an’the the the the the.
1001  common_voice_sv-SE_18853079	Let’s order dessert.	I I an’the the the the the the the the the.
37  common_voice_sv-SE_19878008	But how do we find it?	I I an’the the the the the the athe the the.
606  common_voice_sv-SE_19354342	Thanks mother fucker	I I an’the the the the the.
938  common_voice_sv-SE_19932446	I’m bothering you.	I I an’the tous the the the the the the the.
585  common_voice_sv-SE_19354301	What happened?	I I an’t the the the the the athe the the.
70  common_voice_sv-SE_19380483	Easy to hide.	I I atous tou the the the.
948  common_voice_sv-SE_18852852	Like my mother.	I I an’the the the the the t athe.
1376  common_voice_sv-SE_20021360	And right then.	I I atous tous the the the.
999  common_voice_sv-SE_18853077	But isn’t it easier now?	You an’the the the the the.
8  common_voice_sv-SE_19130618	Take it down, now!	I I an’the the the the the the are the the athe the.
953  common_voice_sv-SE_18852857	What a night for you.	I I an’the the the the the the athe the the.
789  common_voice_sv-SE_19623825	We will solve it.	I I an’t tous the the the.
969  common_voice_sv-SE_18852879	We have been together for seven years.	You an’the the the the the the the the the the.
1573  common_voice_sv-SE_18858770	No, you’re going home.	I I an’the the the the the.
1592  common_voice_sv-SE_18858804	Let’s go look around.	You an’the the the the the.
1316  common_voice_sv-SE_18775049	You should stay away!	Whe athe the the athe the the athe the.
89  common_voice_sv-SE_18850261	We can not hear anything.	I I’s the the the the the.
1491  common_voice_sv-SE_18847657	Do you need a little help?	I I an’the the the the the the the the the.
88  common_voice_sv-SE_18850260	There are two.	You an’the the the the the.
1513  common_voice_sv-SE_18847711	Take your time.	I I an’the the the the the.
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	I I an’the the the the the the athe the the.
1539  common_voice_sv-SE_18847870	Don’t talk crap!	I I an’the the the the the.
1528  common_voice_sv-SE_18847854	Push the bastard!	I I an’the the the the the.
1527  common_voice_sv-SE_18847853	And yourself?	I I an’t the the the the.
1526  common_voice_sv-SE_18847852	Can I have his address?	I I an’the the the the the.
591  common_voice_sv-SE_19354323	But that doesn’t matter.	I I an’the the the the the.
1312  common_voice_sv-SE_18775044	It wasn’t possible.	I I atous tous the the the the the the the.
1157  common_voice_sv-SE_18780612	That is good!	I I atoust tous the thingous athe the.
1304  common_voice_sv-SE_18775036	But it is okay.	I I atous tous the the the the athe the the.
209  common_voice_sv-SE_18748672	Dig me up.	I I atous the the the the.
421  common_voice_sv-SE_18762824	Go to his classroom.	I I an’the the the the the.
1109  common_voice_sv-SE_18746424	Me too.	I I atous tous thathe the the athe the the.
1095  common_voice_sv-SE_18858819	I stole everything you own.	I I’s the the the athe the the athe the the athe the the.
1201  common_voice_sv-SE_18797087	He is having a baby.	I I tous the thathe the the the the the the.
1094  common_voice_sv-SE_18858818	Yes, I probably will.	I I an’the tous the the the athe the the the athe the the the the be the the the the the the there be the be the thererere bererere bererererere therererererere.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	I I’s athe the the the the the athe the the athe the the there there be therere the the the the the the there the thererere berere therererere the therere bererere the.
1062  common_voice_sv-SE_18858756	I made him call you.	The the the the the the the the the the the.
1266  common_voice_sv-SE_18774998	Are you done?	Whe athe the toure the the is athe the ingous.
1221  common_voice_sv-SE_18770437	That was a lie.	You an’the the the the the the athe the the athe the the.
892  common_voice_sv-SE_19589169	Can you believe it?	I I tous the the the the.
213  common_voice_sv-SE_18748676	Apparently not.	I I tous the the the the the athe the the the.
1015  common_voice_sv-SE_18854188	Another message.	I I an’the the the the the the athe the the.
59  common_voice_sv-SE_19071112	Come on, let's go!	I I tous the the the the the athe the the the.
692  common_voice_sv-SE_19758160	Just ask nicely.	I I an’the the the the the the athe the the.
1485  common_voice_sv-SE_18847651	Should I turn on the TV for you?	You an’the the the the the the athe the the athe the the.
1252  common_voice_sv-SE_18774967	And it probably hurts you.	I I tous the athe the the the the the the athe the the the.
1430  common_voice_sv-SE_20021643	What now?	I I an’t tous the the the.
