id	target_txt	prediction
1509  common_voice_sv-SE_18847705	Us or the competition.	I don’t want to feel like an eight.
723  common_voice_sv-SE_19475976	I also have a dog.	I hope he becomes.
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	I’m not going to start talking crap now.
1103  common_voice_sv-SE_18858828	Have you experienced it before?	I didn’t want to ruin your nice entry.
1202  common_voice_sv-SE_18797088	Am i getting this right?	That is my wife.
419  common_voice_sv-SE_18762822	We have a guest speaker.	I will let you know.
1559  common_voice_sv-SE_18858223	No, I have football practice.	We have to head north while we can.
1580  common_voice_sv-SE_18858782	I could have been dead now.	I don’t know what he’s doing.
1049  common_voice_sv-SE_18858730	Do you have a dog?	I have not been able to interrogate him yet.
1476  common_voice_sv-SE_18847642	I’ve been fired.	I don’t want to feel like an eight.
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	You know the president is coming?
703  common_voice_sv-SE_19758216	It was grandpas.	It’s nothing.
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	Why don’t you check out backstage?
1510  common_voice_sv-SE_18847708	It is up to you.	I will do not know.
1001  common_voice_sv-SE_18853079	Let’s order dessert.	But you are not getting a second?
37  common_voice_sv-SE_19878008	But how do we find it?	Is that really it?
606  common_voice_sv-SE_19354342	Thanks mother fucker	It is not possible.
938  common_voice_sv-SE_19932446	I’m bothering you.	It’s nothing.
585  common_voice_sv-SE_19354301	What happened?	Is everything okay?
70  common_voice_sv-SE_19380483	Easy to hide.	Is everything okay?
948  common_voice_sv-SE_18852852	Like my mother.	Is everything okay?
1376  common_voice_sv-SE_20021360	And right then.	What does it matter?
999  common_voice_sv-SE_18853077	But isn’t it easier now?	Do you want to buy jeans?
8  common_voice_sv-SE_19130618	Take it down, now!	Do you really want to know?
953  common_voice_sv-SE_18852857	What a night for you.	I don’t know why you care.
789  common_voice_sv-SE_19623825	We will solve it.	I will check.
969  common_voice_sv-SE_18852879	We have been together for seven years.	Because I am a fucking gull.
1573  common_voice_sv-SE_18858770	No, you’re going home.	Are you going to count?
1592  common_voice_sv-SE_18858804	Let’s go look around.	I will do my best to find it.
1316  common_voice_sv-SE_18775049	You should stay away!	It’s made of alligator skin.
89  common_voice_sv-SE_18850261	We can not hear anything.	I will check that.
1491  common_voice_sv-SE_18847657	Do you need a little help?	It’s probably a time.
88  common_voice_sv-SE_18850260	There are two.	I will let you know.
1513  common_voice_sv-SE_18847711	Take your time.	I don’t want that!
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	Is the old fridge broken?
1539  common_voice_sv-SE_18847870	Don’t talk crap!	Do you know each other?
1528  common_voice_sv-SE_18847854	Push the bastard!	This one is good.
1527  common_voice_sv-SE_18847853	And yourself?	What do you know?
1526  common_voice_sv-SE_18847852	Can I have his address?	Isn’t life funny?
591  common_voice_sv-SE_19354323	But that doesn’t matter.	It was a quick decision.
1312  common_voice_sv-SE_18775044	It wasn’t possible.	This is my office.
1157  common_voice_sv-SE_18780612	That is good!	It is me.
1304  common_voice_sv-SE_18775036	But it is okay.	What do I write?
209  common_voice_sv-SE_18748672	Dig me up.	I like it.
421  common_voice_sv-SE_18762824	Go to his classroom.	What are we going to do now?
1109  common_voice_sv-SE_18746424	Me too.	It is so nice.
1095  common_voice_sv-SE_18858819	I stole everything you own.	I can’t close my eyes when he sneaks in here.
1201  common_voice_sv-SE_18797087	He is having a baby.	Do you have a solid line?
1094  common_voice_sv-SE_18858818	Yes, I probably will.	I have not been able to interrogate him yet.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	You can’t watch over me all the time.
1062  common_voice_sv-SE_18858756	I made him call you.	I can’t close my eyes when he sneaks in here.
1266  common_voice_sv-SE_18774998	Are you done?	That is my line.
1221  common_voice_sv-SE_18770437	That was a lie.	Is everything okay?
892  common_voice_sv-SE_19589169	Can you believe it?	You are not like that.
213  common_voice_sv-SE_18748676	Apparently not.	Do you really want to do now?
1015  common_voice_sv-SE_18854188	Another message.	You can only carry her.
59  common_voice_sv-SE_19071112	Come on, let's go!	Do you have a solid like that?
692  common_voice_sv-SE_19758160	Just ask nicely.	Is this the house?
1485  common_voice_sv-SE_18847651	Should I turn on the TV for you?	How many weddings are there every year?
1252  common_voice_sv-SE_18774967	And it probably hurts you.	Do you want to buy jeans?
1430  common_voice_sv-SE_20021643	What now?	I will let you know.
385  common_voice_sv-SE_18736941	They’re just figs.	I don’t know what he’s doing.
1163  common_voice_sv-SE_18780622	You are so crazy.	That is my wife.
1159  common_voice_sv-SE_18780616	Can you open it?	Come on, let’s leave.
1246  common_voice_sv-SE_18770484	That is what I want.	Can you get the phone out for me?
647  common_voice_sv-SE_18754023	It was nice.	Do you have a something?
1141  common_voice_sv-SE_18746552	Where is the dude?	But we don’t have lines.
1229  common_voice_sv-SE_18770445	But do it quickly.	You can leave now.
1130  common_voice_sv-SE_18746513	I am sorry, okay?	Come on, let’s leave.
