id	target_txt	prediction
332  ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begreiten wänger es insals gemeinsen
378  ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	drukus vor aber ihnen haben sie offen glassen
331  ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	auch ness gehen ausschuss tag noch bis am sanst
1291  ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	sie haben nicht gemunden vergarten
279  ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	in wahl ist das par grässere wohe lepfen
1006  ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	zu saktion hat der sich die paglanchen braut
223  ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	all mein woch ist die watterleb nach unkwärf
425  ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	prückt der fahrmat zu einem fastritten werden
1299  ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	scheintverstürung sind freien und dachbar kein
146  ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochen hat macht sich der fehlen werkbar
1275  ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	zusätzlich ein problem sind spiels unterscheig
298  ch_gr_0950.wav	die erde gilt als der blaue planet	die arbeit geht als der planung
979  ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich spreche ihnen wir darauf
118  ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich steige so wie es um gar nicht sargen
435  ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	das geht immer wieder viel prominen zu gehen
396  ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	har dies zuraus im grubezügs die zu ert
383  ch_gr_0980.wav	der prozess dauerte mehrere tage	der prozess sind wir eine prozess geht
876  ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	der schletz ist man das wort
211  ch_be_2539.wav	alter freund du schläfst jetzt ein	all den fründen diese schlässt ein
532  ch_zh_3308.wav	es bat um eine verlängerung der frist	das hat man eine verlängerung der frispaken
136  ch_vs_1173.wav	am morgen haben wir nebel über basel	wir haben nur gehen werden
506  ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	das haben sich nicht gewähl man sfall geregnet
1237  ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das wollen wir es ein kindes und man geg sind
788  ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle jetzt ein laub gefährt
