id	target_txt	prediction
ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten entgegen ein insassen gemeinsam
ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	die jugendformen ich habe sie offengelassen
ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der nonesklausschuss gegen bis am selsten
ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	sie sind ja nicht genug unsere regeln gärte
ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	zu wählisten das berg grössere wochenlecken
ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	zu sechs sehr harker ist das tägliche graut
ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	der einfach ist wegträglich ungeklärt
ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	berückte fahren zu einem foststreiten würden
ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	zieltristieren wir senden vereine und dachbarkeit
ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende nächstes der fehlinge herkbar
ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem steht ein unterschied
ch_gr_0950.wav	die erde gilt als der blaue planet	die erde gilt ärztlich genau nicht
ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich spreche den einen entfuhr rauf
ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich streite sevision ungehrlich zu sagen
ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	das sage immer wieder viele prälinenzsätze
ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er hat dies zuhaus im grundbeziehungsleistungsert
ch_gr_0980.wav	der prozess dauerte mehrere tage	die präzessen sind ihrer tätigkeit gut
ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	es ist letztes man einfach notieren gesehen
ch_be_2539.wav	alter freund du schläfst jetzt ein	eldefremd schlecht jetzt rein
ch_zh_3308.wav	es bat um eine verlängerung der frist	es hätte auf einer verlängerung der fristbecke
ch_vs_1173.wav	am morgen haben wir nebel über basel	in den regierungsrätinnen und passungen
ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	das haben ein bisschen der wärmeesfeld geregnet
ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das wollen wir heissen unser kindes und mehr gehen
ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle ein lares geführt haben
ch_sg_2499.wav	dafür rieche ich nach schweisse	dafür sind wirklich nichts lässt
ch_vs_1833.wav	leichter regenschauer und windig	leichter arbeitsfall endlingig
ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	aber es dächtig einfach nur ein wenig übertrieben sein
ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	diese letzten sämtlichen halten zuschläge erhält
ch_be_2701.wav	er umarmt sie fest	er erläutert verfasst
ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	gut der gegnetkappeler hat er einfach gesagt
ch_lu_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es für per gresse evölker
ch_lu_0488.wav	das gefieder ist allgemein dunkel blaugrau	ich habe es in allgemeinen allgemeinen und allgrar
ch_zh_3096.wav	sie beanspruchen deutlich weniger ressourcen als wir dies tun	sie brauchen gibt es weniger jetzt äusserst nie
ch_ag_0606.wav	wie oft haben sie mit ihr schon über die schweiz gesprochen	auch aufgrund dieser seben zu lesen
ch_gr_2171.wav	highlight der ausstellung sind die sensen	heilight für die ausstellung sind zu senden
ch_sg_2528.wav	du schielst tatsächlich ein bisschen	sie sehen tatsächlich es gibt viele
ch_sg_2448.wav	er hasste es zu niesen	die herzkesten zu müssen
ch_zh_2014.wav	was bedeutet das konkret	was haben sie keinen konkret
ch_zh_1052.wav	der apfel kann vielseitig eingesetzt werden	dort kann viel süder eingesetzt werden
ch_gr_1493.wav	die kleine kammer setze falsche prioritäten	dort haben wir es setzt die feldsigeritäten
ch_sg_2666.wav	stell dir vor ich stürze	das gefängnis direkt
ch_bs_1856.wav	wie hoch ist das schauerrisiko heute	ich hoffe ist es zusammenweisung nicht
ch_gr_2570.wav	schrumpfst du zu einem kleinen käfer zusammen	es unterstützt die regierung gehäfer zusammen
ch_ag_1719.wav	sie wendet sich um und blickt hinunter auf die stadt	sie geht sich um und geht fehler auf die stadt
ch_sg_2717.wav	seine oberfläche war uneben	seine anderen veränderungen sind unnötig sinnvoll
ch_lu_0503.wav	die trikots wurden von gonzo geklaut	die legie sind vom ganzen gefährd wurde
ch_zh_3861.wav	der deutsche kaiser war hocherfreut	denn dies waren käser wie freude
ch_zh_1873.wav	zeitweise hat es dichtere schleierwolken	teilweise hat es dichterische lehrwöhne
ch_lu_0925.wav	im nächsten jahr soll handtracking hinzukommen	ich weshalb habe kein kindergesuch
ch_lu_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	aber mir darauf ist die häderlegion unklar
ch_zh_2413.wav	kurz vor weihnachten schneite es leicht	kurz verliere ich ihnen etwas gesagt
ch_lu_2458.wav	irgendjemand pfuscht mir hier ins handwerk	irgendwelche finden wir hier uns handrecht
ch_gr_0171.wav	jetzt hab ich dich du alter sünder	jetzt habe ich gelegen sind wir
ch_gr_1527.wav	aber alle haben dieselben sorgen	allerdings sage ich auch dasselbe
ch_gr_1687.wav	und jetzt stopft er sich mit fleisch voll	letzten gäbe es sich nicht kleinsfonds
ch_ag_0598.wav	die sechsunddreissig jährige greta gysin zieht ins parlament ein	die wachsendenbisstärkung zu diesem parlament ein
ch_lu_2472.wav	meine güte roch der arme ranzig aus dem mund	dies hat eine einzelne einsatz umgeschmeckt
ch_sg_2648.wav	geliehen hab ich es nicht gestohlen	das haben sie ausgelehnt nicht gestellt
ch_vs_0046.wav	ich zog mich also vor dem arzt aus	ich kann unseren arzt gesagt werden
ch_vs_1991.wav	es ist immer teil von machstrukturen	es ist in einem teil von 8 strukturen
ch_vs_0693.wav	das geheimrezept wildblumen	das kernenzept mildplan
ch_vs_0268.wav	also drei grad mehr als heute	also verhindern wir einreichen
ch_gr_1861.wav	lockerschnee weisst eine extrem geringe dichte auf	jüggerschnee extrem gringe richtig
ch_sg_1034.wav	seitdem ist der ort selbstständig	zitel ist der antrag selbstständig
ch_be_2673.wav	aber ich tanze nicht nach deiner pfeife	aber ich denke nicht nach der reakive
ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	ich glaube es wäre handlungsverstanden
ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	anderen sind sie nicht fachverständlich
ch_sg_0924.wav	videoconferencing boomt	lieber kanfone sehr burgd
ch_vs_2693.wav	ich trank noch ein glas	ich kann uns gleich vergleichen
ch_sg_2675.wav	du tanzt so leicht wie eine feder	dann ist es verlecht ja noch federn
ch_lu_1780.wav	ich kehre laub immer nur ende herbst	ich wisse es wäre immer noch ende herbst
ch_sg_2501.wav	nicky rollte sich auf die seite	ich habe die situation gehört
ch_bs_1499.wav	seit zehn jahren ist sie konstant	seit zehn jahren ist suggernstand
ch_vs_2494.wav	ich bin nur so gerannt um dich einzuholen	ich sehe bei uns einen gesetz der schitzminimum
ch_vs_2678.wav	ich fürchte dass er euch täuscht	ich richte diesen verhältnis
ch_bs_0221.wav	aber er widersprach auch nicht	aber ich habe nicht einfach ein bisschen
ch_sg_0063.wav	das auto rast durch die nacht	das alter was dort macht
ch_ag_2207.wav	ich starre in die weiten des ozeans	hier werden die redeformation sehr gestärkt
ch_sg_1142.wav	sonst ist es dann morgen wieder trocken	sonst ist es damals nicht tachen
ch_gr_1849.wav	drohnen vermessen die schneedicke	teilweise vermessen sie es nicht
ch_gr_1723.wav	er warf die flasche zur seite	er hat auf die seite gelefen
ch_ag_2601.wav	ich wohne in einem kleinen hotel und erhole mich	ich fänge eine flinge hatte an der halle mein
ch_ag_2629.wav	auf diese weise sparst du jede menge zeit	auf diese weise wäre es ihren nachgezügen
ch_lu_0474.wav	wochentags werden eher frühstücksflocken zum frühstück serviert	und wenn der woche gibt es mehr witzel zu margen
ch_lu_2505.wav	dann rülpste er gewaltig und kicherte darüber	dann habe ich gerne einen gerechten gerecht
ch_zh_3686.wav	wir waren total erstaunt über lena	wir waren vergangen daran
ch_lu_1838.wav	am abend klar mit wenigen wolken	ich möchte einmal bei klären wie ein paar wolken
ch_bs_1698.wav	hommes bereitet schon das haus vor	hann mecht sich ausberg
ch_sg_2261.wav	du malst das ja sehr bunt aus	die lesen sehr gleich weiter
ch_zh_2953.wav	die zahl der betroffenen schwankt	die zehn der betroffenen schränkt
ch_zh_2758.wav	doch es kam andersnein	aber es ist anders komme nein
ch_ag_2588.wav	sie war ausgeruht hungrig glücklich	sie ist uns dort gesehen handlung glücklich
ch_lu_1018.wav	diese volksbräuche sind europaweit verbreitet	die völkers besseren robalität verdrägert
ch_gr_2207.wav	ich starre in die weiten des ozeans	ist da eine weite des motionärs
ch_gr_2561.wav	eine alte frau schrie auf	eine alte frage hat die aufgenommen
ch_ag_1888.wav	am abend nicht ganz wolkenlos	dann aber ist es nicht ganz werklich aus
ch_gr_1864.wav	auf zweitausend metern elf grad	auf 2 mio franken sind wir einfach
ch_sg_1754.wav	unglaublich er zerpflückt dich ja	angeblich nimmt jeselent
ch_ag_0228.wav	du hast mir damals alles weg gegessen	die perspetation ist nicht gelessen
ch_sg_1631.wav	die schweiz eine schwimmnation	es wird ein hintergesehen
ch_lu_2539.wav	alter freund du schläfst jetzt ein	eldkollege das ist jetzt ein
ch_zh_3685.wav	der unfall verursachte zwei tote	der auffang hat sich in die rednerliste geführt
ch_zh_0987.wav	beliebtes ziel ist der stockberg	bereichs ziel ist eine stückkärkung
ch_vs_2641.wav	du magst ihn und das spürt er	die maximal und das speziell gerne
ch_lu_2302.wav	dann drehe sich für ihn die zeit zurück	den freisicht findet zurück
ch_sg_2711.wav	sie ist schon vor langer zeit umgezogen	das ist viel lange gesetze vergeben
ch_lu_0528.wav	das zeigte sich am dienstagabend	das hat sich an siessigar wie gezeigt
ch_bs_2437.wav	sie naschte von den pralinen	sie hat es für den kleinen grassen
ch_vs_1228.wav	der april macht wieder mal was er will	grossrätin machado rebmann verlehnt
ch_zh_1695.wav	sie sind sicher gut vorbereitet	sie sind sicher gut förderwege
ch_vs_2668.wav	dann stürzt du dich von einem kliff	das dünkt uns die definitiven kref
ch_sg_0074.wav	vor allem du siehst dich ein bisschen um	das alle drei wäre explizit auch nehmen
ch_lu_2667.wav	deshalb stürze ich auch hin und wieder ab	deshalb stellt sich der selegen ab
ch_vs_0655.wav	sofort sah er das rotkäppchen	das erforderte das ziel hat nicht gesehen
ch_vs_2330.wav	der plan wurde fallengelassen	das ist der gerne noch einmal
ch_vs_2523.wav	ich schaue mir das im auto an	ich habe es gesagt
ch_zh_1720.wav	endlich wendete sich das schicksal	dann hat es sich schon gesagt lange gegeben
ch_zh_1468.wav	weshalb haben sie eigentlich deutschland im auge	sie haben es eigentlich keine aug
ch_vs_0254.wav	diese benötigen viel strom	es bleiben viele streng
ch_lu_1555.wav	das problem sind nicht die kantonsgrenzen	das verliessen nicht kantonsgrenzen
ch_bs_0633.wav	gut dachte sich der wolf	gut hat sich der regierung dankt
ch_vs_2645.wav	ich stehle ihn aus der vorratskammer	ich stehe noch einmal anwesend
ch_ag_2364.wav	der maulwurf gräbt sich durch die erde	dann hätte sich der targen
ch_sg_1810.wav	am samstag ist es oft sonnig	am fehlsteg ist eine fachgesorge
ch_zh_2638.wav	weil ich deine fantasien spüre	ich möchte mich einig spielen
ch_zh_2611.wav	sie hatte auf der kellertreppe gesessen	sie ist auf den kallestadtgesenzenden
ch_sg_1180.wav	ich wünsche ihnen einen schönen abend	ich wünsche ihnen ein sehr arbeit
ch_vs_0241.wav	am donnerstag einzelne regenschauer	an diesem genzen ergänzenen wegenfälle
ch_bs_1062.wav	ich sollte immer auf ihn aufpassen	ich sage immer viel aufpassen
ch_sg_0072.wav	er sieht sie erstaunt an	er schaut sie als thun da
ch_ag_2549.wav	sie mussten ihn auf eine lichtung geschleppt haben	sie müssen auf dem wichtigen schleck her
ch_ag_0229.wav	ich sage du wirst für sie gekehrt haben	ich fage den ersten resultat
ch_zh_1668.wav	und wie stoppt man ronaldo	hier stapt man gerne neuer
ch_sg_2670.wav	mutter war zu boden gestürzt	margen ist auf der laden gekärbt
ch_zh_0171.wav	jetzt hab ich dich du alter sünder	jetzt kann ich glaube gesinnen
ch_be_1142.wav	sonst ist es dann morgen wieder trocken	sonst ist es dann lohn wieder gerache
ch_ag_1687.wav	und jetzt stopft er sich mit fleisch voll	ich möchte es nicht klar sein
ch_vs_2686.wav	sie hat es gut getroffen	sie hat es geht betroffen
ch_zh_4114.wav	ein raunen ging durch die menge	es rein ist sich noch nichts gegangen
ch_zh_2955.wav	immer wieder werden hier tiere überfahren	immer wieder verregierungen hören
ch_ag_1877.wav	prognose für in den bissen	herr grössig für die unternehmung
ch_gr_2749.wav	ja sie hatten alle verstanden	ja sehen sie einverstanden
ch_ag_1726.wav	wir haben ihn in den turm geworfen	wir haben ihn gerne gehört
ch_lu_2471.wav	kann es sein das ich ranzig rieche	kann sie eine ergänzung schnecken
ch_vs_1774.wav	er ass den kuchen selbst auf	er hat den vielen selber gegessen
ch_sg_1745.wav	ich zanke gerne mit dir rum	ich senke gar nicht gerolle
ch_be_2464.wav	er prahlte nicht gern damit	da hat mich gerne getroffen
ch_be_2710.wav	ich habe gehört das du hier her umziehst	ich hörte einfach noch hin
ch_vs_2724.wav	ihm war unterdessen eine idee gekommen	die liste ist eine lessige tichne
ch_zh_0820.wav	die person wurde behandelt	die persanliegen wurden
ch_be_2738.wav	er verschmutzt die taschentücher	er verschlagt die gelässtäher
ch_zh_1723.wav	er warf die flasche zur seite	ich habe die klassenflächenzeit eingereicht
ch_bs_2634.wav	ich spucke dir ins gesicht	aus der stucktierungsschicht
ch_zh_3447.wav	das geschieht mehr schlecht als recht	das passiert mehr schlechte recht
ch_be_2666.wav	stell dir vor ich stürze	das stell der fahren ist dürzen
ch_zh_1697.wav	du bereitest ein bad für ihn vor	sie machen es bödcher interessiert
ch_ag_2214.wav	seither hat sie stark abgenommen	sie haben diesen antrag abgenommen
ch_lu_1782.wav	wir haben gekochte kartoffeln gemacht	ich möchte auf die arbeit zu gebracht
ch_gr_2615.wav	er sitzt an einem computer	herzlich willkommen hinter
ch_gr_0957.wav	mannschaft integriert	langsach in der erdöl
ch_vs_0916.wav	die wall street steht unter feuer	die mässigkeit ist der regierung
ch_lu_1541.wav	aber es gehe auch um medizin	aber es gibt auch medizin
ch_ag_2561.wav	eine alte frau schrie auf	den artikel werden aufgeschaut
ch_lu_2713.wav	ich bin gerade wirklich unbeholfen	es ist wirklich umgesetzt
ch_lu_2738.wav	er verschmutzt die taschentücher	er nahm dieser verdäckung
ch_zh_1523.wav	allerdings ist sie nicht selbstverständlich	aber sie ist nicht selbstverständlich
ch_zh_1694.wav	er hatte sich gut vorbereitet	er hat sich gerade vorbereitet
ch_lu_2704.wav	er hat mich um diesen gefallen gebeten	er hat nicht vom letzten parteien gefällt
ch_vs_2709.wav	ich ziehe gerade ins alte haus um	ich zehe gerade in sarkies
ch_zh_1527.wav	aber alle haben dieselben sorgen	aber alle haben dieselben sorgen
ch_lu_2712.wav	sie sah sehr unbeholfen aus	sie hat es ihr ungeschickt ausgesehen
ch_vs_1770.wav	es ist mir aus der hand entglitten	das ist unsere handlung
ch_be_2672.wav	aber nach was hat sie gesucht	danach war es eingesehen
ch_sg_1595.wav	news aus dem eishockey	wir müssen es um diesen keine
ch_sg_2689.wav	ich trinke einen schluck bier	die kinder uns lückt er
ch_zh_2748.wav	nur verstand sie nicht warum	ich habe es in einer verständnis
ch_lu_2706.wav	du hast sie gebeten das zu tun	sie wissen gegen dies tun
ch_be_2699.wav	ich umarme dich fest	er und wäre nicht fast
ch_lu_2538.wav	sonst schlafe ich am nachmittag ein	sie schlafen einer negie
ch_zh_2572.wav	nicht wenn ich sie vorher schubse	ich kann ihnen sie zuerst keinen
ch_be_2538.wav	sonst schlafe ich am nachmittag ein	das schlägt ja noch nicht tag ein
ch_sg_2700.wav	du umarmst mich fest	in lärmschlich fest
ch_sg_0061.wav	also habe ich gepfuscht	also ich habe es gefusst
ch_zh_2410.wav	es fängt langsam an zu regnen	es handelt sich um eine regne
ch_zh_2613.wav	jetzt sitze ich zum letzten mal	jetzt sind zum letzten mal
ch_vs_1017.wav	jänner im amt war	lange das war
ch_ag_1725.wav	ich hab keinen stein geworfen	sie von kastage lehnen
ch_zh_1051.wav	er möchte sich die welt anschauen	ich möchte zwei teile liegen
ch_ag_1532.wav	schon lieber im hintergrund	schülerinnen und ganz
ch_zh_1696.wav	ich bereite den verband vor	ich mache einen dolten redner
ch_lu_2274.wav	er wringt nichts aus	der artikel nicht aus
ch_ag_1255.wav	wer ist jon snow	wer ist zentral
ch_sg_1784.wav	ich gewinne sonst nie	ich denke es ist nicht
ch_ag_2615.wav	er sitzt an einem computer	das sind kandidierter
ch_sg_1787.wav	ich gewinne dieses spiel gerade	ich gewinn das bleibengerecht
ch_sg_2703.wav	sie hatten sich umarmt	sie haben sich gelernt
ch_ag_0198.wav	er war geh	er hat es gesehen
ch_ag_1692.wav	ich bin von oben rein gekommen	vielen dank für ihre fonds
ch_lu_2699.wav	ich umarme dich fest	ich meine eigentlich fest
ch_vs_2334.wav	wir haben die tüten festgehalten	sie haben zweckfestgelegt
ch_sg_2699.wav	ich umarme dich fest	ich mende fest
ch_lu_0071.wav	ich sehe ihn mir an	ich schaue mich ab
ch_zh_1255.wav	wer ist jon snow	wer ist es existiert
ch_bs_0234.wav	starker föhn	das tätefall
ch_ag_1478.wav	alle wissen es	alle einsetze
ch_gr_1478.wav	alle wissen es	ein wissens
ch_vs_0899.wav	was ist fake	wir finden es fert
ch_zh_3282.wav	will man sie nicht mehr	ich weiss nicht
ch_zh_3268.wav	wieviel soll die ausnahmebewilligung künftig kosten	ich finde die ausnahmebelinigung inzwischen der kosten
ch_zh_1494.wav	das gehöre zu einer glaubwürdigen klimapolitik	das haben zur jeder für die kinderpolitik dagegen
ch_gr_2403.wav	erst wenn er genug lärm gemacht hatte gab er sich zufrieden	erstens genau gerne machte war es zufrieden gewesen
ch_be_1193.wav	in der nacht fallen die temperaturen unter dreizehn grad	ermecht haben das tendraturen unter 13 läge
ch_sg_2488.wav	die reifen dieses wagens waren nicht kugelsicher	die vereinbarungen sind nicht von gesichert gewesen
ch_gr_0969.wav	oft können die experimente dann sogar nützlich sein	auf die gilt expernenzen wäre hinzlich sein
ch_bs_2387.wav	also ich verstehe das gerade inhaltlich überhaupt nicht	als ich verstanden dass gerade inhaltlich eben nicht
ch_zh_2994.wav	sie bauten mais bohnen quinoa und kürbisse an	zu einem neuen dolechen haben und führen wir bis aber
ch_lu_0930.wav	amazon will quantumcomputing salonfähig machen	ein anliegen herr kanton campiert im saal fehlen
ch_zh_0978.wav	sie ermöglicht ausserdem eine vorhersage des kommenden wetters	sie nicht aus diesem wie vorher selber wegkommen können
ch_ag_2576.wav	einer von ihnen wurde von seinen kameraden nach vorne geschubst	ahnen von ihnen ist für einen kanragen nach vorne geschäft werden
ch_zh_0038.wav	noch sein vater animierte ralph voltz zum zeichnen	wir sind im facto relativ höchst synd zehn manimiert
ch_zh_1118.wav	die flanken der beiden räder berühren sich nur punktförmig	die rand der wege liegen relieren sich nicht punkt völlig
ch_sg_0077.wav	sie hatten sich nie gestritten	es nehmen sich nicht extritten
ch_gr_0788.wav	auch bio kommt nicht ganz ohne pestizide aus	auch biel kompliziert genz eine monipestizin aus
ch_lu_0661.wav	der jäger zog seinen pelz ab und ging damit nach hause	dann hätte ich seine persönlich zu sagen lassen sie nicht einmal irgendwie
ch_bs_1854.wav	am samstagvormittag nicht ganz wolkenlos	am samstag vormittag nicht ganz weichel uns
ch_bs_0419.wav	fahrrad und wanderwege verlaufen um den gesamten stausee	mehr jahre im wanderrecht teile in der ganzen stand
ch_bs_2408.wav	hattest du ihn nicht gehört er hat und ganz laut gerufen	das habe ich nicht kehrfkäfte geht ganz nichts gerufen
ch_zh_1469.wav	das kann für die schweiz sicher keine valable lösung sein	das kann es aber sicher keine rauchbare lösung sein
ch_ag_0764.wav	in der schweiz gibt es nur noch dreitausend brutpaare so frei	es ist jetzt bei vielen letzten unseres durchpässerfalls
ch_bs_0591.wav	sie ist schon eine träge sache die schweizer politik	für uns sage ich habe die sitze politik
