id	target_txt	prediction
ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten die genügenden insassen gemeinsam
ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	die rücklichen frauen haben sie offengelassen
ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	gerade der svpausschüsse tagte man bis am selbsten
ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	das regierungsrat ist nicht genügend fertig
ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	in welchen gibt es eine bergrössere wolche lecken
ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	zu 16 merken sich das tätliche traut
ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	ein einfacher ist wederreglich ungeklärt
ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	berücksichtigung der festlegung
ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	die schildersteiger sind es reihen und dachbarkeit
ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	ein wochenheit nächstes der fehlenden herkbar
ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem ist spätestunterschied
ch_gr_0950.wav	die erde gilt als der blaue planet	die herren gingen herzlich bloss
ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich spreche dann ein entkur herrn recht
ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich steige sowieso unwährlich gesagt ab
ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	dies haben immer in den vielen prämienzen gezogen
ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er diszu haus im groben zieht schliesslich zerk
ch_gr_0980.wav	der prozess dauerte mehrere tage	diese präzise sind ihre realität gut
ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	das letzte ist man doch noch tiere zu sehen
ch_be_2539.wav	alter freund du schläfst jetzt ein	beldefremd ist dies leben zu klein
ch_zh_3308.wav	es bat um eine verlängerung der frist	das haben auch eine verlängerung der fristbacken
ch_vs_1173.wav	am morgen haben wir nebel über basel	ich nur ihren nachbarn erpassen
ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	das haben ein bisschen den wormersfeld geregelt
ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das wollen wir leisten unser kind ist unergängsen
ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle ein lars gefährden
ch_sg_2499.wav	dafür rieche ich nach schweisse	dafür ist es menklich ein gemessen
ch_vs_1833.wav	leichter regenschauer und windig	leichtter arbeitsplätze endlindig
ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	er wäre es stächlich auch ein wenig zu übertrieben scheint
ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	diese hexten sämtlichen auch den zuschlag erhält
ch_be_2701.wav	er umarmt sie fest	er erneuert verfasst
ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	gut der tagneckapierte ich ihnen gesagt
ch_lu_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	um wallis gibt es vielleicht per gresservollkorreken
ch_lu_0488.wav	das gefieder ist allgemein dunkel blaugrau	sie haben unseren allgemeinen unterwegs darauf
ch_zh_3096.wav	sie beanspruchen deutlich weniger ressourcen als wir dies tun	sie brauchen gibt einen schwierigen lesungshaus nicht
ch_ag_0606.wav	wie oft haben sie mit ihr schon über die schweiz gesprochen	noch ein ganzes modell ist eben zurückgelegt
ch_gr_2171.wav	highlight der ausstellung sind die sensen	keine der ausstellungs und zensen
ch_sg_2528.wav	du schielst tatsächlich ein bisschen	wir sind sehr tatsächlich ein gipfeli
ch_sg_2448.wav	er hasste es zu niesen	es gibt kein käftiges messen
ch_zh_2014.wav	was bedeutet das konkret	das heisst nicht kompfexiert
ch_zh_1052.wav	der apfel kann vielseitig eingesetzt werden	herzlich kann viel sauber eingeschätzt werden
ch_gr_1493.wav	die kleine kammer setze falsche prioritäten	dort haben wir es gefällt zur gearitäten
ch_sg_2666.wav	stell dir vor ich stürze	das scdh ist direkt
ch_bs_1856.wav	wie hoch ist das schauerrisiko heute	wie hoch ist die sammlung und heute
ch_gr_2570.wav	schrumpfst du zu einem kleinen käfer zusammen	sie unterstützen ihnen käfer zusammen
ch_ag_1719.wav	sie wendet sich um und blickt hinunter auf die stadt	sie tret sich um und betreben auf die stadt
ch_sg_2717.wav	seine oberfläche war uneben	das sind wir auch nicht existieren
ch_lu_0503.wav	die trikots wurden von gonzo geklaut	die linke sind vom ganzen gefährdet worden
ch_zh_3861.wav	der deutsche kaiser war hocherfreut	wenn die kaise ist hoch erfreut waren
ch_zh_1873.wav	zeitweise hat es dichtere schleierwolken	teilweise hat es dichter ist eher erhöhend
ch_lu_0925.wav	im nächsten jahr soll handtracking hinzukommen	ja es ist ein hand kein kinder zu erhalten
ch_lu_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	aber mir ist kein gegenlagen und klar
ch_zh_2413.wav	kurz vor weihnachten schneite es leicht	kürzlich zu verweihen es ein wenig schnitt
ch_lu_2458.wav	irgendjemand pfuscht mir hier ins handwerk	irgendwo finde ich da ein handrecht
ch_gr_0171.wav	jetzt hab ich dich du alter sünder	jetzt habe ich die gelegen sind sie
ch_gr_1527.wav	aber alle haben dieselben sorgen	aber einen der gleichen sorgen
ch_gr_1687.wav	und jetzt stopft er sich mit fleisch voll	letztes härte sich nicht kleines vorher
ch_ag_0598.wav	die sechsunddreissig jährige greta gysin zieht ins parlament ein	die wachsenbeisteuerung zu dieses parlament ein
ch_lu_2472.wav	meine güte roch der arme ranzig aus dem mund	dort hat er noch einmal nur umgeschneckt
ch_sg_2648.wav	geliehen hab ich es nicht gestohlen	wir haben es ausgelehnt nicht stellen
ch_vs_0046.wav	ich zog mich also vor dem arzt aus	ich kann einen solchen arzt abgezogen werden
ch_vs_1991.wav	es ist immer teil von machstrukturen	es ist in einem teil des achtsstrukturen
ch_vs_0693.wav	das geheimrezept wildblumen	das kennenzept meldbelang
ch_vs_0268.wav	also drei grad mehr als heute	es ist einfach nicht einreichen
ch_gr_1861.wav	lockerschnee weisst eine extrem geringe dichte auf	jürg iseli extrem geringer richtig
ch_sg_1034.wav	seitdem ist der ort selbstständig	zital ist dieser art sehr standard
ch_be_2673.wav	aber ich tanze nicht nach deiner pfeife	ich denke es nicht nach gerade gehen
ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	ich glaube wir hätten es verständnis
ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	andernfalls ist es nicht fachverständlich
