id	target_txt	prediction
3234  2d2cf078-f7ba-4649-abbe-71b295992bd1	das gesetz hat sich grundsätzlich sehr bewährt	das gesetz hat sich grundsätzlich sehr bewährt
3209  81646f6d-1380-4bf2-b50e-cf5c71ca639e	das hat auch mit solidarität zu tun	es hat auch mit solidarität zu tun
1037  06c7cf88-4ce9-47ae-bfa2-7b628c961b94	leider funktioniert das nur bedingt	leider funktioniert nur bedingt
1700  4af059c9-3bd7-49be-821d-e2b9ee5b01a5	da braucht es mehrere tage intensivste regenfälle	da braucht es mehrere tage intensiv die regenfälle
743  1bd2f2b0-a6a0-47e8-9664-af84cfd65f5c	deshalb ist punkt 2c auch erfüllt	deshalb ist es auch erfüllt
1378  e410bc58-9e65-4f00-9ea6-7b782ec31ac6	das sollten wir wirklich beibehalten	deshalb sollten wir wirklich beibehalten
3297  342bc586-ea65-4a10-a6c6-709b614792be	es ist klar dass es ein zeichen ist	es ist klar das ist ein zeichen
682  92a53d42-8c0e-41e7-a8fc-1cdeff4b3300	er sei billiger ortsverträglicher	es soll williger ortsverträglichen
1393  a2ef8243-2808-43f8-a12c-b2205f156483	das vorgehen hat sich sicher bewährt	das vorgehen hat sich sicher eben bewährt
1116  a375b6eb-69ad-40e3-a2f7-1fc4e04ac583	das sind minimale ansprüche	das sind minimale ansprüchen
439  8c6b9f4c-f65c-42d0-a94c-ef463bb8577c	die medienpolitik war auch ein grosses thema	die medienpolitik ist aller grosses thema
3076  1699c152-9c5d-443e-adba-702d83b9d16f	wir finden das sei die falsche flughöhe	wir finden das ist falsche floghöhe
2381  954b5f55-d172-4797-a553-e6cebeaa510a	es ist ein kleiner aufwand mit grosser wirkung	das kleine aufwand und grosse wirkung
1785  9c333b23-98c2-4c7a-9e84-f168c8829524	daher unterstützen wir den antrag	wer unterstützen wir den antrag
2075  385981ab-6b27-4f0c-a29d-dd7082b0cc74	die gesellschaft ist im wandel begriffen	die gesellschaft ist im wandel
2849  06a76cdf-5c26-4262-bd12-cb951c4591a1	irgendetwas stimmt dort im verhältnis nicht	irgendwo bestimmt dort im verhältnis nicht
1908  ed4f9a2d-3df6-4196-8558-8641e1bfbeb7	das gehört für uns ebenso zur unterstützung	das kehrt vereins eben so zur unterstützung
1014  8149335c-a57e-4c6b-94ba-adaaac0cae68	ich fasse mich deshalb relativ kurz	ich fasse mich deshalb relativ kurz
2582  6a2f669d-c7d2-4da1-a7f9-144bd15b9cdf	am schlimmsten ist meiner meinung nach	aus schlimsten ist es meiner meinung noch
2685  4c38ae8c-3fc6-4da2-8363-88cfd3fea7f9	die motion verlangt einen faktencheck	die motion verlangt eine faktencheid
465  a9329d0c-268a-4b8f-a1ac-9b44f9402013	alles andere könnte ja schon gar nicht sein	alles andere könnte schon wahr nicht sein
474  063e6372-01a2-4d21-8804-0d2ecaf0cc12	es ist ganz sicher dies ist jetzt vorbei	dieser ist ein ganz sicher durch
977  b00ead54-f65e-4dd2-b4ea-0bf364a69fae	als eigentümer kann man das durchaus tun	das eigentümer kann man das dort aus
2085  135c965a-e619-4b8a-afee-dc93cabb1753	das ist privatrechtlich organisiert	das ist privatrechtlich organisiert
988  2319deae-3211-472c-a5ee-19308dd663e5	ich suche einfach den besten oder die beste	die gesuche einfach den bessen oder die besten
1488  0d281024-2f38-4855-ac9a-553ac7403912	wer gibt schon gerne privilegien her	wer gibt schon gerne privilegien her
2540  e34a2ec6-ee67-4bb7-8791-4dcfcde8ac8a	was bedeutet dies für den kanton bern	was bedeutet dass jetzt für den kanton bern
3305  646df9fb-f621-43f8-be84-fe33a264988b	die bevölkerung sagt dann ja oder nein	wir sind die bevölkerung die bei anderen nein
935  c748c335-277e-477d-aa70-30994c83bfdc	und auch wenn dann auch mitarbeiter arbeiten	auch wenn ich auch mitarbeiten schaffen
1695  024cab7e-ca55-46f5-a1f4-d42b74d4c9ad	dies zu lasten des staatshaushalts	dies zulasten des staatshaushalten
774  36434ba3-ac47-4fde-9867-2de0d31c4c03	an andern orten ist es einfacher zu machen	anderen ort ist es einfacher zu machen
1722  76db8fdf-ccce-4b07-8917-79adbf9524eb	zusammenfassend können wir folgendes sagen	zusammenfassend können wir folgen sagen
